occupants,timeStart,timeEnd,duration
4,2022-07-05 17:22:29,2022-07-05 17:22:46,18
3,2022-07-05 17:22:47,2022-07-05 17:22:51,5
2,2022-07-05 17:22:52,2022-07-05 17:27:35,284
1,2022-07-05 17:27:36,2022-07-05 17:27:50,15
2,2022-07-05 17:27:51,2022-07-05 17:33:14,324
3,2022-07-05 17:33:15,2022-07-05 17:33:36,22
4,2022-07-05 17:33:37,2022-07-05 17:35:09,93
3,2022-07-05 17:35:10,2022-07-05 17:35:44,35
4,2022-07-05 17:35:45,2022-07-05 17:36:12,28
3,2022-07-05 17:36:13,2022-07-05 17:36:53,41
4,2022-07-05 17:36:54,2022-07-05 17:37:04,11
3,2022-07-05 17:37:05,2022-07-05 17:38:16,72
4,2022-07-05 17:38:17,2022-07-05 17:38:57,41
3,2022-07-05 17:38:58,2022-07-05 17:40:12,75
4,2022-07-05 17:40:13,2022-07-05 17:40:24,12
5,2022-07-05 17:40:25,2022-07-05 17:40:46,22
6,2022-07-05 17:40:47,2022-07-05 17:41:07,21
5,2022-07-05 17:41:08,2022-07-05 17:41:10,3
4,2022-07-05 17:41:11,2022-07-05 17:41:12,2
3,2022-07-05 17:41:13,2022-07-05 17:42:31,79
4,2022-07-05 17:42:32,2022-07-05 17:46:37,246
3,2022-07-05 17:46:38,2022-07-05 17:48:42,125
4,2022-07-05 17:48:43,2022-07-05 17:49:33,51
3,2022-07-05 17:49:34,2022-07-05 17:50:38,65
2,2022-07-05 17:50:39,2022-07-05 17:58:54,496
3,2022-07-05 17:58:55,2022-07-05 17:59:20,26
4,2022-07-05 17:59:21,2022-07-05 18:00:45,85
3,2022-07-05 18:00:46,2022-07-05 18:01:00,15
4,2022-07-05 18:01:01,2022-07-05 18:02:07,67
3,2022-07-05 18:02:08,2022-07-05 18:04:03,116
4,2022-07-05 18:04:04,2022-07-05 18:04:14,11
5,2022-07-05 18:04:15,2022-07-05 18:05:29,75
4,2022-07-05 18:05:30,2022-07-05 18:09:01,212
3,2022-07-05 18:09:02,2022-07-05 18:12:20,199
2,2022-07-05 18:12:21,2022-07-05 18:14:41,141
1,2022-07-05 18:14:42,2022-07-05 18:16:40,119
2,2022-07-05 18:16:41,2022-07-05 18:17:02,22
1,2022-07-05 18:17:03,2022-07-05 18:22:31,329
2,2022-07-05 18:22:32,2022-07-05 18:23:52,81
1,2022-07-05 18:23:53,2022-07-05 18:26:55,183
2,2022-07-05 18:26:56,2022-07-05 18:27:31,36
1,2022-07-05 18:27:32,2022-07-05 18:27:39,8
2,2022-07-05 18:27:40,2022-07-05 18:30:59,200
3,2022-07-05 18:31:00,2022-07-05 18:31:31,32
4,2022-07-05 18:31:32,2022-07-05 18:32:29,58
3,2022-07-05 18:32:30,2022-07-05 18:32:57,28
4,2022-07-05 18:32:58,2022-07-05 18:32:58,1
5,2022-07-05 18:32:59,2022-07-05 18:32:59,1
6,2022-07-05 18:33:00,2022-07-05 18:33:50,51
5,2022-07-05 18:33:51,2022-07-05 18:34:13,23
6,2022-07-05 18:34:14,2022-07-05 18:34:49,36
5,2022-07-05 18:34:50,2022-07-05 18:37:45,176
6,2022-07-05 18:37:46,2022-07-05 18:38:13,28
7,2022-07-05 18:38:14,2022-07-05 18:38:44,31
6,2022-07-05 18:38:45,2022-07-05 18:40:26,102
5,2022-07-05 18:40:27,2022-07-05 18:40:27,1
4,2022-07-05 18:40:28,2022-07-05 18:41:54,87
5,2022-07-05 18:41:55,2022-07-05 18:43:03,69
6,2022-07-05 18:43:04,2022-07-05 18:43:51,48
7,2022-07-05 18:43:52,2022-07-05 18:44:25,34
6,2022-07-05 18:44:26,2022-07-05 18:44:45,20
5,2022-07-05 18:44:46,2022-07-05 18:46:00,75
6,2022-07-05 18:46:01,2022-07-05 18:46:16,16
7,2022-07-05 18:46:17,2022-07-05 18:47:30,74
8,2022-07-05 18:47:31,2022-07-05 18:47:37,7
7,2022-07-05 18:47:38,2022-07-05 18:49:07,90
6,2022-07-05 18:49:08,2022-07-05 18:49:13,6
7,2022-07-05 18:49:14,2022-07-05 18:49:41,28
8,2022-07-05 18:49:42,2022-07-05 18:50:19,38
7,2022-07-05 18:50:20,2022-07-05 18:51:52,93
6,2022-07-05 18:51:53,2022-07-05 18:51:59,7
7,2022-07-05 18:52:00,2022-07-05 18:52:07,8
6,2022-07-05 18:52:08,2022-07-05 18:54:21,134
7,2022-07-05 18:54:22,2022-07-05 18:55:22,61
6,2022-07-05 18:55:23,2022-07-05 18:57:00,98
7,2022-07-05 18:57:01,2022-07-05 18:57:16,16
8,2022-07-05 18:57:17,2022-07-05 18:58:17,61
7,2022-07-05 18:58:18,2022-07-05 18:58:18,1
6,2022-07-05 18:58:19,2022-07-05 18:59:23,65
5,2022-07-05 18:59:24,2022-07-05 18:59:47,24
4,2022-07-05 18:59:48,2022-07-05 19:01:01,74
5,2022-07-05 19:01:02,2022-07-05 19:04:06,185
4,2022-07-05 19:04:07,2022-07-05 19:04:28,22
5,2022-07-05 19:04:29,2022-07-05 19:04:59,31
4,2022-07-05 19:05:00,2022-07-05 19:06:27,88
3,2022-07-05 19:06:28,2022-07-05 19:08:09,102
4,2022-07-05 19:08:10,2022-07-05 19:08:35,26
5,2022-07-05 19:08:36,2022-07-05 19:08:44,9
6,2022-07-05 19:08:45,2022-07-05 19:09:32,48
5,2022-07-05 19:09:33,2022-07-05 19:10:41,69
4,2022-07-05 19:10:42,2022-07-05 19:13:27,166
3,2022-07-05 19:13:28,2022-07-05 19:14:41,74
2,2022-07-05 19:14:42,2022-07-05 19:17:28,167
3,2022-07-05 19:17:29,2022-07-05 19:17:57,29
